0.9164477647909387
class4,p
nonevent,0.14250922113255257
nonevent,0.25475012755250886
II,0.9545697475744493
nonevent,0.5242405445863269
nonevent,0.553385473544845
II,0.9802949482318444
nonevent,0.030772709850570266
nonevent,0.10946970385175099
II,0.9723467266735072
nonevent,0.07513193269747086
Ib,0.9938632263906438
nonevent,0.5841184896381415
Ib,0.9401078079425625
nonevent,0.0014910307839022987
nonevent,0.013773075062311574
II,0.9762367847258999
II,0.8210578630350588
nonevent,0.08295766403403017
nonevent,0.012676659295219968
nonevent,0.03478899349284507
II,0.9748656305464024
nonevent,0.6834410800568772
II,0.8065844024338696
nonevent,0.06834497497892539
II,0.9804423440198834
II,0.9956192287458937
nonevent,0.3452061051760426
II,0.9180460262155926
nonevent,0.12219103203644767
II,0.8900336678483162
nonevent,0.04362189040506118
nonevent,0.26417345325703234
nonevent,0.008784183595313284
Ib,0.9728474706196956
Ib,0.9890268279415931
nonevent,0.03184873512797581
nonevent,0.016338018313416254
nonevent,0.27145622050687385
Ib,0.9597892754564236
nonevent,0.15101394059703474
II,0.9708702209681069
Ia,0.9737101446403867
II,0.7772381391996025
II,0.7328888547836528
nonevent,0.34886144579253014
nonevent,0.015466512447741306
nonevent,0.017640307201127577
II,0.9727752698372073
nonevent,0.040266071562787754
Ib,0.9108822424233946
nonevent,0.024110432397237574
Ib,0.9727241107130165
nonevent,0.15282039894908742
II,0.5983511547346534
Ib,0.6941715302887176
II,0.7878369470805783
Ib,0.9508320495742556
nonevent,0.07861327451340933
Ib,0.9859223794531177
Ib,0.7518081626127567
Ib,0.8984716093738366
II,0.9868897011601957
II,0.6761214121933907
II,0.43687581138308995
II,0.5249378135600021
nonevent,0.3125709280543332
II,0.8409764071607198
nonevent,0.277478095589416
nonevent,0.050179375841606956
nonevent,0.04232658096795714
II,0.966468080321642
nonevent,0.4482535708810689
nonevent,0.025675900489361293
Ib,0.8644435528173117
Ib,0.9693779375462137
nonevent,0.0070988018810934665
Ib,0.9471407306221385
nonevent,0.011057476029587851
nonevent,0.009101338038717991
nonevent,0.010587931584148141
nonevent,0.4972551120057837
nonevent,0.005440867409984818
II,0.7846829584778182
nonevent,0.24876831220107878
nonevent,0.24314528388407974
Ib,0.9600957828446216
nonevent,0.07769129977750507
nonevent,0.021607040719325926
II,0.4930854068030577
nonevent,0.10728863774284551
nonevent,0.0010738483371814614
II,0.8091584395112736
II,0.9935380667538939
nonevent,0.03804404754103908
nonevent,0.09753162126166492
nonevent,0.1614736579314248
II,0.6539743176347437
nonevent,0.08132029827066732
nonevent,0.4387171435324946
nonevent,0.11883063772994336
nonevent,0.023815345621758754
nonevent,0.03762887207519771
II,0.44995846538967266
II,0.9125700366570011
Ib,0.946853599933824
nonevent,0.1739633732861551
nonevent,0.1427588491594859
nonevent,0.0717545819610612
nonevent,0.010659904952085417
nonevent,0.5000453345221582
Ib,0.9898434864444564
nonevent,0.052012126232777574
nonevent,0.017914244934090846
Ib,0.9726835572637539
nonevent,0.17242248018587356
II,0.9632832288696669
nonevent,0.10300218555544283
nonevent,0.05675085646667655
nonevent,0.24031176846877442
nonevent,0.0733777934912806
Ib,0.8584376446269729
II,0.7884911764447501
nonevent,0.1008785772307658
nonevent,0.13186648251184338
II,0.9697636415735137
nonevent,0.18234197829135254
nonevent,0.07969344089226507
nonevent,0.09983809297762736
Ib,0.9624667127347486
Ib,0.7421358087471684
II,0.9375429071288387
nonevent,0.14092761650749144
nonevent,0.04776051875071017
nonevent,0.10443633544396184
nonevent,0.7843295759283069
II,0.6989368856566763
nonevent,0.37709683058256394
II,0.9178084040623764
II,0.9312131202687177
Ib,0.97391253582051
II,0.8519365440560546
nonevent,0.5268436886105771
II,0.8159041766151441
nonevent,0.05941763372583719
nonevent,0.20758538664199697
Ib,0.7198597544969764
II,0.8086757867654283
II,0.4205120631292929
nonevent,0.002604192555913385
nonevent,0.13896116034851783
nonevent,0.0049355614922059155
II,0.9064272093738429
nonevent,0.006039209741112543
Ib,0.9663830832965798
Ib,0.9816270177697515
Ib,0.973704846363435
nonevent,0.42433464361063805
Ib,0.9093940732558345
Ib,0.9756418135018872
nonevent,0.02039238689993213
nonevent,0.17404551797770462
Ib,0.9735051401338898
nonevent,0.031941260341774004
nonevent,0.14462362899102474
nonevent,0.03695583337007078
nonevent,0.09884190476407616
nonevent,0.08276256601616427
II,0.8187920581298052
nonevent,0.4857113697617474
II,0.9516605268959203
nonevent,0.11369553166452424
Ib,0.8545462325117512
nonevent,0.17885768940083954
II,0.8786673626765591
nonevent,0.12246489430884555
nonevent,0.1015788086748217
Ia,0.9515016575567348
nonevent,0.011869801572333001
II,0.9457375170977489
nonevent,0.2647995742362064
nonevent,0.6244828900075041
nonevent,0.0723329252804051
nonevent,0.6202939602016149
nonevent,0.05810304210249817
nonevent,0.3756303299909145
nonevent,0.045965078267359905
nonevent,0.06986052222796772
nonevent,0.04910434419695168
nonevent,0.0026353093754467277
Ib,0.9633314624194064
nonevent,0.17754310550691085
nonevent,0.8272341884420106
Ib,0.984394960291148
nonevent,0.08501083495583102
Ia,0.9696343968744533
nonevent,0.4713311601364252
II,0.9705976369037038
II,0.7539799719636887
nonevent,0.06366366889742218
nonevent,0.46424071364386316
Ib,0.9429185033235705
nonevent,0.030660001040000672
nonevent,0.06582601866493416
nonevent,0.05544568758519688
nonevent,0.040270245049336434
nonevent,0.05318736634002669
Ia,0.9958650432924226
Ib,0.9800268349900861
nonevent,0.013329979807258962
nonevent,0.4509480567650394
Ib,0.9469797802570814
nonevent,0.006611501709700496
nonevent,0.0228586801631948
Ib,0.7950009939831034
II,0.9799406747927168
nonevent,0.013472098670450829
Ib,0.9695974618243666
nonevent,0.21112163404537834
nonevent,0.6273036673881186
II,0.859901158941514
II,0.947032783049305
nonevent,0.03203681708533412
Ib,0.8691414080562175
nonevent,0.7292064804171003
nonevent,0.039736292578425106
nonevent,0.30818287206427036
II,0.966913521639997
II,0.9800874182155478
II,0.9496938984376304
nonevent,0.16504577784649602
nonevent,0.41805326756725925
nonevent,0.37393102533267664
nonevent,0.13158231775089496
Ib,0.786500771997119
nonevent,0.34105101245018493
II,0.9074385067677223
nonevent,0.3111619217363095
II,0.9839806387211505
II,0.9663413363623018
II,0.937848126658556
nonevent,0.5519676451264536
nonevent,0.22168159533577433
nonevent,0.025271533530446467
nonevent,0.09955738425573914
II,0.815311476766396
nonevent,0.5828942935467057
Ib,0.9722133814021494
nonevent,0.3064828978869187
nonevent,0.2820642663936626
nonevent,0.046844973221378504
nonevent,0.08904185461400622
nonevent,0.00030307634064988785
nonevent,0.11819358925147289
nonevent,0.16148201831773593
II,0.9052530095012203
Ib,0.9701085828876691
Ib,0.8660844267449934
nonevent,0.06285800682057997
II,0.9228276441305074
II,0.972499432622187
nonevent,0.0025833837774262426
nonevent,0.4208533130808338
Ib,0.5289475602379148
nonevent,0.019350059689236157
nonevent,0.48160110361059133
nonevent,0.031723600293888626
nonevent,0.05439958985400714
nonevent,0.03482567445779852
Ib,0.9728886268964217
nonevent,0.13395835641347795
II,0.8017220260105997
nonevent,0.5455488672339345
II,0.9437150837490368
II,0.8301245518301364
nonevent,0.051180131383498965
Ib,0.9813070725953436
nonevent,0.002750216173060642
Ib,0.7823662123106936
II,0.9482305981458081
II,0.565452480356761
Ib,0.9823926880320362
nonevent,0.507493277241945
nonevent,0.03850483464663116
nonevent,0.5448401480130796
Ib,0.8365973452889186
II,0.9895523237476239
nonevent,0.6614100557618684
II,0.7848997957853978
Ib,0.9709562507554357
nonevent,0.13804562563917774
II,0.9717239148058875
II,0.9206484085939483
nonevent,0.1870661366009191
nonevent,0.027482417810907725
nonevent,0.6325113842859117
nonevent,0.04012826288970916
II,0.970262631719546
nonevent,0.04819374020682529
nonevent,0.4777685667129774
nonevent,0.4818037692263342
nonevent,0.541743338164558
Ib,0.9746743092789378
nonevent,0.7185513654601675
nonevent,0.024114251178145554
II,0.8510145905980604
nonevent,0.06193999018045134
II,0.5812095126423957
Ib,0.858358374495848
nonevent,0.1734913668318285
nonevent,0.04849905311032604
nonevent,0.050648023099921065
II,0.8780710551753349
nonevent,0.0926079337484117
nonevent,0.014492180859030859
nonevent,0.11168541778670348
Ib,0.9597621710371377
nonevent,0.22626634718738314
II,0.9435019737622854
nonevent,0.056767351125670266
nonevent,0.043004615206298995
Ib,0.9578452645484384
Ib,0.9571691449087275
nonevent,0.22661476285009277
Ib,0.9650090969707099
nonevent,0.1265615286732891
nonevent,0.02819832550536057
nonevent,0.3594620371295522
nonevent,0.047257606360897285
Ib,0.8229447944148692
II,0.985922905569072
nonevent,0.0017630243958681499
Ib,0.9391143565779115
II,0.9580756519716603
nonevent,0.007006491296839258
nonevent,0.007301673416244991
II,0.8644205904902226
nonevent,0.003535625766704687
nonevent,0.3735678460616642
nonevent,0.5568495005264141
nonevent,0.1510811531771923
II,0.9644839355673697
II,0.8348197387762806
nonevent,0.22828896851250804
nonevent,0.172907291562273
Ib,0.8804507128633065
nonevent,0.5246170031188503
nonevent,0.06965349765853124
nonevent,0.018056662427640525
II,0.88084037020294
II,0.9543987099095336
nonevent,0.07165623034913039
Ib,0.676452380835468
II,0.8258712906374176
II,0.9601214095749646
Ib,0.9695204538875409
Ib,0.9783063777448128
nonevent,0.06610590165075671
nonevent,0.07769583821679406
nonevent,0.13519928336441164
Ia,0.8837647109153802
nonevent,0.001031942418259668
nonevent,0.1387976582247735
nonevent,0.03318880726981266
II,0.9410233588747126
nonevent,0.2780528188110196
nonevent,0.00039384612932322774
nonevent,0.4427044270553582
nonevent,0.017627700474124697
nonevent,0.18132550687300664
II,0.7102227733487153
nonevent,0.1380024144642238
nonevent,0.25717892347130705
Ib,0.9200797384723641
nonevent,0.014904046814481464
nonevent,0.014682655854679455
nonevent,0.5379304235222006
nonevent,0.05031549250642365
Ib,0.9929437340286841
Ib,0.8656999638548123
nonevent,0.3122762883928531
Ib,0.9831321720292664
II,0.8172075142087607
nonevent,0.06233803563751091
II,0.9827427465476237
II,0.7380436267542055
II,0.9148184001183773
nonevent,0.0559391908913224
nonevent,0.004235867895226061
nonevent,0.07299609213946955
Ib,0.9439227776816629
nonevent,0.5121089876967592
Ib,0.8042776336188994
nonevent,0.04270917693297882
nonevent,0.6695950531155571
nonevent,0.019911812116661615
nonevent,0.19659278809132763
nonevent,0.4688235046741913
II,0.9531853180497446
II,0.9650951752003887
nonevent,0.05015586641046335
nonevent,0.01818118726186312
nonevent,0.02456175591273965
nonevent,0.0313281905866021
Ib,0.5535913675898376
Ia,0.8660366591959304
nonevent,0.0007863444400901977
nonevent,0.29767916056787613
nonevent,0.01312609580489292
nonevent,0.588247519881011
nonevent,0.00877855647664554
nonevent,0.0738580514804257
nonevent,0.19577824693547577
II,0.8867892002037907
II,0.6342906049965138
Ib,0.8633579645463457
nonevent,0.14045111177303216
II,0.9553784274849559
nonevent,0.2623827054670704
II,0.9413994328184135
nonevent,0.5125492065537532
II,0.974757832778378
II,0.9068437973029596
Ib,0.9636694755979643
Ib,0.9269658603074614
nonevent,0.0332843803400679
Ib,0.9406768689229511
Ib,0.9647786056764063
nonevent,0.009910035599119326
nonevent,0.0003515430461706634
nonevent,0.042374909352078605
Ib,0.9591325124084498
nonevent,0.25609380309138635
II,0.7199224582685603
Ia,0.982387406169086
Ib,0.9877106930187729
nonevent,0.38959023190837755
nonevent,0.06506458869124433
nonevent,0.018400238062278636
nonevent,0.5718467843301103
II,0.9667879254238531
nonevent,0.0710943823262928
nonevent,0.030151568485136723
II,0.8030195977276139
nonevent,0.5306646390780134
nonevent,0.06894692139912269
II,0.9746818237936097
nonevent,0.030050682910351557
II,0.8986272740762704
nonevent,0.1218109720709174
II,0.9132896580206996
nonevent,0.07106294307682445
Ib,0.817165431812494
Ia,0.9934143676515745
Ib,0.8887466148405583
nonevent,0.019952552989341087
Ib,0.9792137899542923
nonevent,0.311661543961943
Ib,0.7336902689397938
nonevent,0.48296444534620764
nonevent,0.08911518194185769
Ib,0.8537842619767789
nonevent,0.18230369990534
nonevent,0.0017456006867176523
II,0.7303120617498768
nonevent,0.21541999597759331
nonevent,0.24635470605496387
nonevent,0.022549080729620124
II,0.7992770739232723
II,0.9561092161920834
nonevent,0.004825774702077876
II,0.9476676030101562
nonevent,0.2371166581477373
Ib,0.9386769658975952
nonevent,0.03540214029432041
Ib,0.9680720040764202
nonevent,0.20750587540812804
nonevent,0.10151920346559096
nonevent,0.041421476303337146
nonevent,0.03854830697312985
nonevent,0.08139986671874208
Ib,0.9449041090183495
Ib,0.8620415064992173
II,0.8314640909725585
nonevent,0.11686280165666178
II,0.9762001567273285
nonevent,0.026729140284305324
II,0.9110507614860058
nonevent,0.15367234989213843
nonevent,0.02976346124000173
nonevent,0.05169099253047924
II,0.972255808048493
II,0.9847165724459036
nonevent,0.015510368977756053
nonevent,0.054770057786081024
nonevent,0.2049475782372765
II,0.7915714951070626
nonevent,0.040141141198678953
nonevent,0.03090634597867631
nonevent,0.09432661736739223
Ib,0.9896831068565378
nonevent,0.04748463295288511
II,0.9847315547588485
Ia,0.32415729640948815
Ib,0.8599750420256056
nonevent,0.04074349808618021
nonevent,0.031637698396068475
nonevent,0.001500169149559377
II,0.6961951521421014
nonevent,0.04835744638108985
II,0.9822502094707097
nonevent,0.023837085730244578
nonevent,0.0343091984250096
nonevent,0.0036220469661090563
nonevent,0.2753930221023774
II,0.9206898738852377
nonevent,0.5338853230894426
nonevent,0.010341323978158743
nonevent,0.16934773584466187
nonevent,0.0716371651104542
nonevent,0.020602046706416813
Ib,0.9781537452158623
nonevent,0.12343873168182336
nonevent,0.014048638602944268
nonevent,0.024910432927276373
II,0.9865042154797763
nonevent,0.09384469785476775
nonevent,0.3149875779317289
nonevent,0.32547868308170097
Ib,0.9848816516108799
Ib,0.9892535933768062
nonevent,0.3523526953572634
nonevent,0.08460983956582228
nonevent,0.45038737873718454
nonevent,0.06886318449685347
nonevent,0.07837588294062173
nonevent,0.23914590448401865
nonevent,0.014867376343778424
Ib,0.7052108186173296
Ib,0.5450161642722194
nonevent,0.02019131513340509
nonevent,0.06206772571654121
nonevent,0.17977590227261162
nonevent,0.09253317251977772
nonevent,0.032666511014291376
nonevent,0.0006712573787338458
nonevent,0.05057650584408679
nonevent,0.17720827986359142
Ib,0.8790253317843265
nonevent,0.007145219461235887
II,0.9035640654075916
II,0.8166569116475233
II,0.8019186617123338
II,0.9566288196175702
nonevent,0.5018711629548586
II,0.8880666989646895
nonevent,0.14646947300922247
nonevent,0.038646718429265196
nonevent,0.18570016897734573
nonevent,0.01018262091384955
nonevent,0.018920877824231914
nonevent,0.11149415645524254
II,0.9112469585873951
nonevent,0.018369737515141354
nonevent,0.671650926353716
nonevent,0.04709425513048753
II,0.8476304152556425
Ib,0.9727469035099411
II,0.8846676397246825
nonevent,0.0665909047655854
II,0.979485734845818
Ib,0.986103296410692
nonevent,0.03648258669084976
nonevent,0.05736743178456955
nonevent,0.06414928837651768
Ib,0.9055975571591692
II,0.8695364808236818
Ib,0.9330983362928195
nonevent,0.45279956206344213
Ib,0.9888263612727526
nonevent,0.10854581226402849
Ib,0.9641829886624572
nonevent,0.04961094135813976
Ib,0.9720096095775933
nonevent,0.04658281017129357
nonevent,0.25740975765684665
nonevent,0.2838559901188551
nonevent,0.6447290881270152
nonevent,0.02415416406076537
nonevent,0.1940564595326469
II,0.5054831022792693
Ib,0.7324160208597131
nonevent,0.06562088031161674
nonevent,0.003445922282648461
Ia,0.7967718179700428
Ia,0.9599324020520067
nonevent,0.0029201765803065116
Ib,0.9563215137744784
II,0.9664504020259269
II,0.8357466251439867
Ia,0.8581146968717109
II,0.9772408761553243
nonevent,0.0032088357070407894
nonevent,0.4445290522834182
nonevent,0.67773133719956
nonevent,0.17941906195476806
nonevent,0.08610389618973545
II,0.9258005325622487
nonevent,0.10018665067364259
Ib,0.9772915612015308
nonevent,0.05520090935274016
II,0.8341356059149084
Ib,0.9729190078265617
nonevent,0.16826599099043413
nonevent,0.009700827563208125
nonevent,0.1347187712264651
II,0.9661002631119479
Ib,0.8892402084836725
Ia,0.9888425221418036
II,0.8290226907295523
nonevent,0.0758217663909652
nonevent,0.053637452680723806
II,0.7468446571966715
II,0.9610821855487574
Ib,0.9907810194920144
nonevent,0.0483079131240551
Ib,0.8648105518019061
nonevent,0.09438920148954681
nonevent,0.13634842565967573
nonevent,0.05131519222755046
Ib,0.9675286480762123
nonevent,0.2938257415534181
nonevent,0.01959583178210983
nonevent,0.2336736302464936
II,0.9032551010473728
II,0.9229114663878675
Ib,0.930543250029945
nonevent,0.1020209089227676
II,0.8652908367442401
nonevent,0.17859247166176662
II,0.7429946604210143
nonevent,0.03766267313266763
nonevent,0.02595340154545719
II,0.9672061560910947
nonevent,0.2673888170012337
nonevent,0.46123826161941706
nonevent,0.027168386836904368
nonevent,0.008530706573071534
Ia,0.997960940717089
II,0.7327848825311909
nonevent,0.7548253631752894
nonevent,0.16484195353482267
nonevent,0.08042767010528636
nonevent,0.023638331986355926
II,0.8088880713292527
II,0.7362021361485972
nonevent,0.06753526194947476
nonevent,0.10793341412977968
nonevent,0.0003592589492725396
nonevent,0.1621803554217277
Ib,0.8042313865363542
II,0.978371078568681
nonevent,0.001772438400629705
Ia,0.6614036066290233
nonevent,0.022785086598951027
nonevent,0.2364873720477414
nonevent,0.025420901756039227
Ib,0.9637113997538514
II,0.9524576108888461
Ib,0.9910031071743314
nonevent,0.05262582535228233
nonevent,0.47016895939239967
Ib,0.9612267148249417
nonevent,0.04743125280250241
nonevent,0.08375801327290837
II,0.9171828838404376
nonevent,0.001119633067644894
nonevent,0.031139236815237645
Ib,0.9821954724100203
nonevent,0.04041586240947876
nonevent,0.0010998014870436184
nonevent,0.17943781105576453
II,0.9448320815550333
Ib,0.9551388959475083
nonevent,0.08147093186216782
II,0.921357950613506
Ib,0.9673428947515273
II,0.8699056674217799
II,0.982696887479861
Ib,0.9112139661534387
nonevent,0.14538524088101912
Ib,0.9913584811643837
Ib,0.9925799611962126
Ia,0.9008451122946702
nonevent,0.042137729247888334
nonevent,0.3566977392560398
nonevent,0.010303669127882133
nonevent,0.019669568425283966
II,0.8407101433510541
nonevent,0.4274903485631585
Ib,0.8521909530167574
II,0.8297483825784115
nonevent,0.45884229536378557
Ib,0.9897124354708696
II,0.6792620110695373
nonevent,0.39616052836617627
nonevent,0.2620343199241189
II,0.8761682470358846
nonevent,0.24429439292084387
nonevent,0.05868008142500871
nonevent,0.15520470545323958
nonevent,0.41381479930894755
nonevent,0.13207599373996332
nonevent,0.22203682978123196
nonevent,0.001609812819212621
II,0.7698728059828822
II,0.6947302644736908
II,0.9618753529809477
Ib,0.8523480952456371
nonevent,0.046847906812249464
nonevent,0.06664373396017916
II,0.9755508722935765
nonevent,0.0024410943531772266
nonevent,0.5689775519599132
Ia,0.892379513472065
nonevent,0.045750289828933206
nonevent,0.0046513064209306315
nonevent,0.5425871526637361
nonevent,0.17349591647467366
nonevent,0.02142278223916223
nonevent,0.014623454030266428
nonevent,0.03965447299585797
nonevent,0.007709187360739862
Ib,0.9860691585979576
II,0.9332986297986509
II,0.9452171140951221
II,0.8841773753507454
nonevent,0.12050918806713407
II,0.9124772248808736
nonevent,0.04672154986274583
